job_card_date,invoice_line_text,material,supplier_name,review_text
01-06-2017,Coolant Pipe,Plastic,Techno Car Repairs,This part is very sturdy and has improved my car's performance significantly.
01-06-2017,Brake Disc,Steel,Saraswathi Auto Works,I regret buying this. It's not as advertised and doesn't work properly.
01-06-2017,Exhaust Pipe,Steel,Anand Auto Services,This part is very sturdy and has improved my car's performance significantly.
01-06-2017,Engine Cover,Aluminum,Nandini Automotive Services,"Average product, but works fine for basic needs. Could be sturdier."
01-06-2017,Engine Cover,Aluminum,Vidhyarthi Auto Solutions,"Product fits well, but the finish could have been better. Overall, okay."
01-06-2017,Exhaust Pipe,Steel,Nandini Automotive Services,Good value for money. Would definitely buy again from this seller.
01-06-2017,Car Battery Case,Plastic,Omkar Auto Traders,"Excellent product, very durable! Worth every penny."
01-06-2017,Brake Disc,Steel,Nandini Automotive Services,Not impressed. The part started rusting after a few weeks of use.
01-06-2017,Exhaust Pipe,Steel,Rajesh Auto Suppliers,"Received the item late, but it works fine. A little disappointed with the delay."
01-06-2017,Brake Disc,Steel,Sree Ram Auto Services,"Quality is okay, but it could be better. Not as durable as expected."
01-06-2017,Coolant Pipe,Plastic,Vishnu Auto Engineers,"Works as expected, but I thought it would last longer."
01-06-2017,Coolant Pipe,Plastic,Ganga Auto Works,"It's okay, not great. It did the job, but I expected more durability."
01-06-2017,Rubber Seal,Rubber,Shree Durga Auto Solutions,Expected better quality for the price. Not satisfied with the product.
01-06-2017,Dashboard Cover,Plastic,Anand Auto Services,"Not bad, but the price could be reduced a little. It's functional, though."
01-06-2017,Engine Cover,Aluminum,Venkateshwara Motors,I regret buying this. It's not as advertised and doesn't work properly.
01-06-2017,Brake Disc,Steel,Omkar Auto Traders,"Works as expected, but I thought it would last longer."
01-06-2017,Engine Cover,Aluminum,Ramesh Auto Traders,"Not as expected, needs improvement. The quality could be better."
01-06-2017,Wheel Rim,Steel,Jayam Vehicle Components,No complaints. The part performs well and was easy to install.
01-06-2017,Radiator,Aluminum,Raghavendra Auto Parts,Good value for money. Would definitely buy again from this seller.
01-06-2017,Car Battery Case,Plastic,Krishnamurthy Automotive,This part fits perfectly and works like a charm. Totally recommend it!
01-06-2017,Wheel Rim,Steel,Vidhyarthi Auto Solutions,"Pretty good. It works well, but not as robust as other brands."
01-06-2017,Engine Cover,Aluminum,Ashwini Auto Parts,"Excellent product, very durable! Worth every penny."
01-06-2017,Exhaust Pipe,Steel,Ganga Auto Works,"Great service, product works perfectly. Highly satisfied with the purchase."
01-06-2017,Dashboard Cover,Plastic,Venkateshwara Motors,"Satisfactory, meets the needs. Could be better in terms of fitment."
01-06-2017,Side Mirror Cover,Plastic,Nandini Automotive Services,"Not bad, but the price could be reduced a little. It's functional, though."
01-06-2017,Car Battery Case,Plastic,Rajesh Auto Suppliers,"Product fits well, but the finish could have been better. Overall, okay."
01-06-2017,Wheel Rim,Steel,Prabha Auto Parts,"Works as expected, but I thought it would last longer."
01-06-2017,Car Battery Case,Plastic,Prakash Auto Components,Not impressed. The part started rusting after a few weeks of use.
01-06-2017,Car Battery Case,Plastic,Prakash Auto Components,Very happy with this purchase! It fits my car perfectly and works smoothly.
01-06-2017,Rubber Seal,Rubber,Sree Auto Enterprises,I regret buying this. It's not as advertised and doesn't work properly.
01-06-2017,Wheel Rim,Steel,Shakti Automotive,"Pretty good. It works well, but not as robust as other brands."
01-06-2017,Car Battery Case,Plastic,Shree Durga Auto Solutions,Not impressed. The part started rusting after a few weeks of use.
01-06-2017,Coolant Pipe,Plastic,Sri Lakshmi Radiators,"Very poor quality, do not recommend. Broke within a week of use."
01-06-2017,Fuel Tank,Aluminum,Ravi Auto Engineers,This part is very sturdy and has improved my car's performance significantly.
01-06-2017,Coolant Pipe,Plastic,Prabha Auto Parts,Good value for money. Would definitely buy again from this seller.
01-06-2017,Brake Disc,Steel,Rajesh Auto Suppliers,"Great service, product works perfectly. Highly satisfied with the purchase."
01-06-2017,Engine Cover,Aluminum,Shubham Car Components,"Very poor quality, do not recommend. Broke within a week of use."
01-06-2017,Side Mirror Cover,Plastic,Nandini Automotive Services,"Received the item late, but it works fine. A little disappointed with the delay."
01-06-2017,Coolant Pipe,Plastic,Techno Car Repairs,"Product works fine, good for the price. Would buy again."
01-06-2017,Radiator,Aluminum,Anand Auto Services,"Excellent product, very durable! Worth every penny."
01-06-2017,Brake Disc,Steel,Venkateshwara Motors,Not impressed. The part started rusting after a few weeks of use.
01-06-2017,Dashboard Cover,Plastic,Sree Auto Enterprises,"Average product, but works fine for basic needs. Could be sturdier."
01-06-2017,Dashboard Cover,Plastic,Omkar Auto Traders,"Worth the price, satisfied overall. Installation was simple and easy."
02-06-2017,Radiator,Aluminum,Kaveri Engine Parts,This part fits perfectly and works like a charm. Totally recommend it!
02-06-2017,Exhaust Pipe,Steel,Vidhyarthi Auto Solutions,This part fits perfectly and works like a charm. Totally recommend it!
02-06-2017,Coolant Pipe,Plastic,Omkar Auto Traders,A great product at an affordable price. Would recommend to others.
02-06-2017,Side Mirror Cover,Plastic,Sree Krishna Motors,Not impressed. The part started rusting after a few weeks of use.
02-06-2017,Dashboard Cover,Plastic,Krishnamurthy Automotive,"Product works fine, good for the price. Would buy again."
02-06-2017,Dashboard Cover,Plastic,Prakash Auto Components,The product did not meet my expectations. Poor quality and cheap materials.
02-06-2017,Dashboard Cover,Plastic,Shree Durga Auto Solutions,"Worst purchase ever, broke after one week. Very disappointed."
02-06-2017,Exhaust Pipe,Steel,Vidhyarthi Auto Solutions,"Quality is okay, but it could be better. Not as durable as expected."
02-06-2017,Fuel Tank,Aluminum,Sri Lakshmi Radiators,This part is very sturdy and has improved my car's performance significantly.
02-06-2017,Coolant Pipe,Plastic,Omkar Auto Traders,"Installation was a bit tricky, but the product works fine now."
02-06-2017,Radiator,Aluminum,Prabha Auto Parts,"Works as expected, but I thought it would last longer."
02-06-2017,Brake Disc,Steel,Venkateshwara Motors,"Customer service was very helpful, and the product is good."
02-06-2017,Engine Cover,Aluminum,Ganesh Car Services,"Received the item late, but it works fine. A little disappointed with the delay."
02-06-2017,Wheel Rim,Steel,Techno Car Repairs,A great product at an affordable price. Would recommend to others.
02-06-2017,Rubber Seal,Rubber,Shree Durga Auto Solutions,This part fits perfectly and works like a charm. Totally recommend it!
02-06-2017,Car Battery Case,Plastic,Maruthi Auto Parts,"Not as expected, needs improvement. The quality could be better."
03-06-2017,Exhaust Pipe,Steel,Sree Auto Enterprises,"Received the item late, but it works fine. A little disappointed with the delay."
03-06-2017,Brake Disc,Steel,Jayam Vehicle Components,"Excellent product, very durable! Worth every penny."
03-06-2017,Exhaust Pipe,Steel,Sree Krishna Motors,"Fast delivery, product is okay. However, customer service could be better."
03-06-2017,Coolant Pipe,Plastic,Shree Durga Auto Solutions,"Not bad, but the price could be reduced a little. It's functional, though."
03-06-2017,Dashboard Cover,Plastic,Maruthi Auto Parts,"Great service, product works perfectly. Highly satisfied with the purchase."
03-06-2017,Exhaust Pipe,Steel,Venkateshwara Motors,Very happy with this purchase! It fits my car perfectly and works smoothly.
03-06-2017,Exhaust Pipe,Steel,Venkateshwara Motors,"Quality is okay, but it could be better. Not as durable as expected."
03-06-2017,Wheel Rim,Steel,Nandini Automotive Services,The product did not meet my expectations. Poor quality and cheap materials.
03-06-2017,Dashboard Cover,Plastic,Shubham Car Components,No complaints. The part performs well and was easy to install.
03-06-2017,Coolant Pipe,Plastic,Shubham Car Components,A great product at an affordable price. Would recommend to others.
03-06-2017,Engine Cover,Aluminum,Shubham Car Components,"Good quality, but a bit expensive compared to others."
03-06-2017,Side Mirror Cover,Plastic,Vidhyarthi Auto Solutions,Good value for money. Would definitely buy again from this seller.
03-06-2017,Radiator,Aluminum,Saraswathi Auto Works,"Customer service was very helpful, and the product is good."
03-06-2017,Fuel Tank,Aluminum,Prakash Auto Components,Good value for money. Would definitely buy again from this seller.
03-06-2017,Radiator,Aluminum,Maruthi Auto Parts,"Very poor quality, do not recommend. Broke within a week of use."
03-06-2017,Fuel Tank,Aluminum,Omkar Auto Traders,"Product works fine, good for the price. Would buy again."
03-06-2017,Dashboard Cover,Plastic,Techno Car Repairs,This part fits perfectly and works like a charm. Totally recommend it!
03-06-2017,Dashboard Cover,Plastic,Jayam Vehicle Components,"Great service, product works perfectly. Highly satisfied with the purchase."
03-06-2017,Rubber Seal,Rubber,Rajesh Auto Suppliers,"Worst purchase ever, broke after one week. Very disappointed."
03-06-2017,Car Battery Case,Plastic,Prabha Auto Parts,"Worth the price, satisfied overall. Installation was simple and easy."
03-06-2017,Car Battery Case,Plastic,Venkateshwara Motors,"Customer service was very helpful, and the product is good."
03-06-2017,Car Battery Case,Plastic,Vidhyarthi Auto Solutions,"Customer service was very helpful, and the product is good."
03-06-2017,Radiator,Aluminum,Ramesh Auto Traders,Good value for money. Would definitely buy again from this seller.
03-06-2017,Rubber Seal,Rubber,Krishnamurthy Automotive,"Customer service was very helpful, and the product is good."
03-06-2017,Wheel Rim,Steel,Sree Auto Enterprises,"Great service, product works perfectly. Highly satisfied with the purchase."
03-06-2017,Dashboard Cover,Plastic,Krishnamurthy Automotive,This part fits perfectly and works like a charm. Totally recommend it!
03-06-2017,Fuel Tank,Aluminum,Durga Motors,This part is very sturdy and has improved my car's performance significantly.
03-06-2017,Car Battery Case,Plastic,Maruthi Auto Parts,This part fits perfectly and works like a charm. Totally recommend it!
03-06-2017,Radiator,Aluminum,Ashwini Auto Parts,"Worst purchase ever, broke after one week. Very disappointed."
03-06-2017,Car Battery Case,Plastic,Lakshmi Vehicle Components,"Fast delivery, product is okay. However, customer service could be better."
03-06-2017,Car Battery Case,Plastic,Kaveri Engine Parts,"Satisfactory, meets the needs. Could be better in terms of fitment."
03-06-2017,Exhaust Pipe,Steel,Vidhyarthi Auto Solutions,"Amazing performance, highly recommend! A must-buy for all car owners."
03-06-2017,Exhaust Pipe,Steel,Venkateshwara Motors,"Great product, but it took longer to arrive than expected."
03-06-2017,Dashboard Cover,Plastic,Ganga Auto Works,Very happy with this purchase! It fits my car perfectly and works smoothly.
03-06-2017,Exhaust Pipe,Steel,Kaveri Engine Parts,Expected better quality for the price. Not satisfied with the product.
03-06-2017,Car Battery Case,Plastic,Shakti Automotive,I regret buying this. It's not as advertised and doesn't work properly.
03-06-2017,Dashboard Cover,Plastic,Rajesh Auto Suppliers,"Pretty good. It works well, but not as robust as other brands."
03-06-2017,Engine Cover,Aluminum,Sree Ram Auto Services,"Received the item late, but it works fine. A little disappointed with the delay."
03-06-2017,Dashboard Cover,Plastic,Maruthi Auto Parts,A great product at an affordable price. Would recommend to others.
03-06-2017,Car Battery Case,Plastic,Rajesh Auto Suppliers,A great product at an affordable price. Would recommend to others.
04-06-2017,Exhaust Pipe,Steel,Sree Auto Enterprises,This part fits perfectly and works like a charm. Totally recommend it!
04-06-2017,Fuel Tank,Aluminum,Durga Motors,The product did not meet my expectations. Poor quality and cheap materials.
04-06-2017,Dashboard Cover,Plastic,Durga Motors,"Worst purchase ever, broke after one week. Very disappointed."
04-06-2017,Coolant Pipe,Plastic,Ganga Auto Works,"Amazing performance, highly recommend! A must-buy for all car owners."
04-06-2017,Exhaust Pipe,Steel,Ganga Auto Works,"Not as expected, needs improvement. The quality could be better."
04-06-2017,Engine Cover,Aluminum,Krishnamurthy Automotive,Not impressed. The part started rusting after a few weeks of use.
04-06-2017,Radiator,Aluminum,Kaveri Engine Parts,"Very poor quality, do not recommend. Broke within a week of use."
04-06-2017,Side Mirror Cover,Plastic,Kaveri Engine Parts,"Product works fine, good for the price. Would buy again."
04-06-2017,Dashboard Cover,Plastic,Raghavendra Auto Parts,"Pretty good. It works well, but not as robust as other brands."
04-06-2017,Fuel Tank,Aluminum,Ramesh Auto Traders,"Satisfactory, meets the needs. Could be better in terms of fitment."
04-06-2017,Coolant Pipe,Plastic,Anand Auto Services,Absolutely perfect! Everything fits and functions as it should.
04-06-2017,Wheel Rim,Steel,Lakshmi Vehicle Components,"Very poor quality, do not recommend. Broke within a week of use."
04-06-2017,Brake Disc,Steel,Rajesh Auto Suppliers,This part is very sturdy and has improved my car's performance significantly.
04-06-2017,Fuel Tank,Aluminum,Sree Auto Enterprises,"Very poor quality, do not recommend. Broke within a week of use."
05-06-2017,Engine Cover,Aluminum,Maruthi Auto Parts,This part is very sturdy and has improved my car's performance significantly.
05-06-2017,Radiator,Aluminum,Shubham Car Components,Not impressed. The part started rusting after a few weeks of use.
05-06-2017,Exhaust Pipe,Steel,Jayam Vehicle Components,"Product works fine, good for the price. Would buy again."
05-06-2017,Side Mirror Cover,Plastic,Saraswathi Auto Works,This part is very sturdy and has improved my car's performance significantly.
05-06-2017,Dashboard Cover,Plastic,Venkateshwara Motors,"Good quality, but a bit expensive compared to others."
05-06-2017,Brake Disc,Steel,Vishnu Auto Engineers,Good value for money. Would definitely buy again from this seller.
05-06-2017,Side Mirror Cover,Plastic,Maruthi Auto Parts,"Satisfactory, meets the needs. Could be better in terms of fitment."
05-06-2017,Exhaust Pipe,Steel,Prabha Auto Parts,"Installation was a bit tricky, but the product works fine now."
05-06-2017,Wheel Rim,Steel,Raghavendra Auto Parts,"Works as expected, but I thought it would last longer."
05-06-2017,Wheel Rim,Steel,Durga Motors,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Dashboard Cover,Plastic,Ashwini Auto Parts,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Rubber Seal,Rubber,Ravi Auto Engineers,Very happy with this purchase! It fits my car perfectly and works smoothly.
05-06-2017,Brake Disc,Steel,Techno Car Repairs,"Excellent product, very durable! Worth every penny."
05-06-2017,Side Mirror Cover,Plastic,Sri Lakshmi Radiators,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Wheel Rim,Steel,Ravi Auto Engineers,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Car Battery Case,Plastic,Ravi Auto Engineers,"Customer service was very helpful, and the product is good."
05-06-2017,Engine Cover,Aluminum,Sree Krishna Motors,"It's okay, not great. It did the job, but I expected more durability."
05-06-2017,Wheel Rim,Steel,Sree Krishna Motors,"Amazing performance, highly recommend! A must-buy for all car owners."
05-06-2017,Dashboard Cover,Plastic,Sri Lakshmi Radiators,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Car Battery Case,Plastic,Ganesh Car Services,"Worth the price, satisfied overall. Installation was simple and easy."
05-06-2017,Fuel Tank,Aluminum,Shubham Car Components,"Excellent product, very durable! Worth every penny."
05-06-2017,Fuel Tank,Aluminum,Sree Krishna Motors,"Good quality, but a bit expensive compared to others."
05-06-2017,Side Mirror Cover,Plastic,Durga Motors,Very happy with this purchase! It fits my car perfectly and works smoothly.
05-06-2017,Fuel Tank,Aluminum,Raghavendra Auto Parts,Good value for money. Would definitely buy again from this seller.
05-06-2017,Engine Cover,Aluminum,Ramesh Auto Traders,I regret buying this. It's not as advertised and doesn't work properly.
05-06-2017,Dashboard Cover,Plastic,Vidhyarthi Auto Solutions,A great product at an affordable price. Would recommend to others.
05-06-2017,Wheel Rim,Steel,Anand Auto Services,No complaints. The part performs well and was easy to install.
05-06-2017,Brake Disc,Steel,Rajesh Auto Suppliers,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Rubber Seal,Rubber,Shakti Automotive,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Radiator,Aluminum,Prakash Auto Components,"Quality is okay, but it could be better. Not as durable as expected."
05-06-2017,Brake Disc,Steel,Sree Auto Enterprises,Absolutely perfect! Everything fits and functions as it should.
05-06-2017,Exhaust Pipe,Steel,Kaveri Engine Parts,A great product at an affordable price. Would recommend to others.
05-06-2017,Dashboard Cover,Plastic,Krishnamurthy Automotive,The product did not meet my expectations. Poor quality and cheap materials.
05-06-2017,Car Battery Case,Plastic,Prabha Auto Parts,"Quality is okay, but it could be better. Not as durable as expected."
05-06-2017,Dashboard Cover,Plastic,Maruthi Auto Parts,"Customer service was very helpful, and the product is good."
05-06-2017,Side Mirror Cover,Plastic,Sree Ram Auto Services,"Quality is okay, but it could be better. Not as durable as expected."
05-06-2017,Car Battery Case,Plastic,Sree Auto Enterprises,"Worst purchase ever, broke after one week. Very disappointed."
05-06-2017,Radiator,Aluminum,Omkar Auto Traders,"Average product, but works fine for basic needs. Could be sturdier."
05-06-2017,Wheel Rim,Steel,Ramesh Auto Traders,"Customer service was very helpful, and the product is good."
05-06-2017,Exhaust Pipe,Steel,Omkar Auto Traders,"Product works fine, good for the price. Would buy again."
05-06-2017,Side Mirror Cover,Plastic,Kaveri Engine Parts,"Quality is okay, but it could be better. Not as durable as expected."
05-06-2017,Dashboard Cover,Plastic,Sree Ram Auto Services,"Installation was a bit tricky, but the product works fine now."
05-06-2017,Radiator,Aluminum,Shakti Automotive,"Satisfactory, meets the needs. Could be better in terms of fitment."
05-06-2017,Engine Cover,Aluminum,Jayam Vehicle Components,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Coolant Pipe,Plastic,Lakshmi Vehicle Components,"Not bad, but the price could be reduced a little. It's functional, though."
05-06-2017,Brake Disc,Steel,Ashwini Auto Parts,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Dashboard Cover,Plastic,Durga Motors,The product did not meet my expectations. Poor quality and cheap materials.
05-06-2017,Fuel Tank,Aluminum,Krishnamurthy Automotive,I regret buying this. It's not as advertised and doesn't work properly.
05-06-2017,Engine Cover,Aluminum,Raghavendra Auto Parts,"Excellent product, very durable! Worth every penny."
05-06-2017,Radiator,Aluminum,Sree Krishna Motors,"Fast delivery, product is okay. However, customer service could be better."
05-06-2017,Coolant Pipe,Plastic,Prabha Auto Parts,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Fuel Tank,Aluminum,Techno Car Repairs,Expected better quality for the price. Not satisfied with the product.
05-06-2017,Brake Disc,Steel,Raghavendra Auto Parts,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Engine Cover,Aluminum,Sri Lakshmi Radiators,I regret buying this. It's not as advertised and doesn't work properly.
05-06-2017,Wheel Rim,Steel,Sree Auto Enterprises,"Fast delivery, product is okay. However, customer service could be better."
05-06-2017,Fuel Tank,Aluminum,Prabha Auto Parts,"Installation was a bit tricky, but the product works fine now."
05-06-2017,Brake Disc,Steel,Lakshmi Vehicle Components,"Worst purchase ever, broke after one week. Very disappointed."
05-06-2017,Exhaust Pipe,Steel,Nandini Automotive Services,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Engine Cover,Aluminum,Techno Car Repairs,"Excellent product, very durable! Worth every penny."
05-06-2017,Wheel Rim,Steel,Kaveri Engine Parts,"Satisfactory, meets the needs. Could be better in terms of fitment."
05-06-2017,Brake Disc,Steel,Prakash Auto Components,The product did not meet my expectations. Poor quality and cheap materials.
05-06-2017,Side Mirror Cover,Plastic,Shakti Automotive,"Worst purchase ever, broke after one week. Very disappointed."
05-06-2017,Engine Cover,Aluminum,Jayam Vehicle Components,The product did not meet my expectations. Poor quality and cheap materials.
05-06-2017,Side Mirror Cover,Plastic,Prakash Auto Components,"Received the item late, but it works fine. A little disappointed with the delay."
05-06-2017,Exhaust Pipe,Steel,Sree Krishna Motors,Not impressed. The part started rusting after a few weeks of use.
05-06-2017,Brake Disc,Steel,Nandini Automotive Services,"Received the item late, but it works fine. A little disappointed with the delay."
05-06-2017,Brake Disc,Steel,Venkateshwara Motors,"Great service, product works perfectly. Highly satisfied with the purchase."
05-06-2017,Brake Disc,Steel,Kaveri Engine Parts,No complaints. The part performs well and was easy to install.
05-06-2017,Engine Cover,Aluminum,Raghavendra Auto Parts,"Not bad, but the price could be reduced a little. It's functional, though."
05-06-2017,Dashboard Cover,Plastic,Jayam Vehicle Components,"Works as expected, but I thought it would last longer."
05-06-2017,Brake Disc,Steel,Ganesh Car Services,No complaints. The part performs well and was easy to install.
05-06-2017,Car Battery Case,Plastic,Raghavendra Auto Parts,"It's okay, not great. It did the job, but I expected more durability."
05-06-2017,Radiator,Aluminum,Ganga Auto Works,"Pretty good. It works well, but not as robust as other brands."
05-06-2017,Dashboard Cover,Plastic,Sree Krishna Motors,"Product fits well, but the finish could have been better. Overall, okay."
05-06-2017,Brake Disc,Steel,Maruthi Auto Parts,"Not as expected, needs improvement. The quality could be better."
05-06-2017,Exhaust Pipe,Steel,Sree Ram Auto Services,"Product fits well, but the finish could have been better. Overall, okay."
05-06-2017,Engine Cover,Aluminum,Sree Ram Auto Services,"Average product, but works fine for basic needs. Could be sturdier."
05-06-2017,Radiator,Aluminum,Omkar Auto Traders,"Product fits well, but the finish could have been better. Overall, okay."
05-06-2017,Fuel Tank,Aluminum,Krishnamurthy Automotive,This part is very sturdy and has improved my car's performance significantly.
05-06-2017,Car Battery Case,Plastic,Ramesh Auto Traders,This part fits perfectly and works like a charm. Totally recommend it!
05-06-2017,Side Mirror Cover,Plastic,Techno Car Repairs,"Installation was a bit tricky, but the product works fine now."
06-06-2017,Engine Cover,Aluminum,Sree Ram Auto Services,"It's okay, not great. It did the job, but I expected more durability."
06-06-2017,Exhaust Pipe,Steel,Prabha Auto Parts,"Great service, product works perfectly. Highly satisfied with the purchase."
06-06-2017,Coolant Pipe,Plastic,Sree Krishna Motors,Good value for money. Would definitely buy again from this seller.
06-06-2017,Engine Cover,Aluminum,Vidhyarthi Auto Solutions,"Excellent product, very durable! Worth every penny."
06-06-2017,Car Battery Case,Plastic,Maruthi Auto Parts,"Not as expected, needs improvement. The quality could be better."
06-06-2017,Dashboard Cover,Plastic,Ramesh Auto Traders,"Great service, product works perfectly. Highly satisfied with the purchase."
06-06-2017,Fuel Tank,Aluminum,Ramesh Auto Traders,"Installation was a bit tricky, but the product works fine now."
06-06-2017,Radiator,Aluminum,Shubham Car Components,"Not as expected, needs improvement. The quality could be better."
06-06-2017,Coolant Pipe,Plastic,Omkar Auto Traders,"Installation was a bit tricky, but the product works fine now."
06-06-2017,Fuel Tank,Aluminum,Ramesh Auto Traders,No complaints. The part performs well and was easy to install.
06-06-2017,Engine Cover,Aluminum,Krishnamurthy Automotive,"Received the item late, but it works fine. A little disappointed with the delay."
06-06-2017,Radiator,Aluminum,Maruthi Auto Parts,Not impressed. The part started rusting after a few weeks of use.
06-06-2017,Car Battery Case,Plastic,Rajesh Auto Suppliers,"Product works fine, good for the price. Would buy again."
06-06-2017,Coolant Pipe,Plastic,Sree Krishna Motors,"Pretty good. It works well, but not as robust as other brands."
06-06-2017,Coolant Pipe,Plastic,Durga Motors,"Not as expected, needs improvement. The quality could be better."
06-06-2017,Wheel Rim,Steel,Raghavendra Auto Parts,"Fast delivery, product is okay. However, customer service could be better."
